127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000995
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000996
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000961
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000961
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/js/ajax_editor.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/js/typeahead.min.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/images/files_toggle.png, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.012967
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.025931
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/images/save_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.063830
127.0.0.1, 2022-01-11 18:45:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.084830
127.0.0.1, 2022-01-11 18:45:53, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.119110
127.0.0.1, 2022-01-11 18:45:54, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.456316
127.0.0.1, 2022-01-11 18:46:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.067577
127.0.0.1, 2022-01-11 18:46:54, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.665442
127.0.0.1, 2022-01-11 18:47:24, POST, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.012233
127.0.0.1, 2022-01-11 18:47:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078585
127.0.0.1, 2022-01-11 18:47:54, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.670990
127.0.0.1, 2022-01-11 18:48:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.084773
127.0.0.1, 2022-01-11 18:48:54, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.679288
127.0.0.1, 2022-01-11 18:48:56, POST, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.020941
127.0.0.1, 2022-01-11 18:49:40, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.051893
127.0.0.1, 2022-01-11 18:49:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-01-11 18:50:01, POST, /admin/default/create_file, HTTP/1.1, 303, 0.007012
127.0.0.1, 2022-01-11 18:50:01, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.043882
127.0.0.1, 2022-01-11 18:50:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-01-11 18:50:06, GET, /admin/default/peek/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.025962
127.0.0.1, 2022-01-11 18:50:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-01-11 18:50:10, GET, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.012998
127.0.0.1, 2022-01-11 18:50:10, GET, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.009940
127.0.0.1, 2022-01-11 18:50:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-01-11 18:50:10, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.068849
127.0.0.1, 2022-01-11 18:50:10, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.200683
127.0.0.1, 2022-01-11 18:50:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.204670
127.0.0.1, 2022-01-11 18:50:10, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.202676
127.0.0.1, 2022-01-11 18:50:10, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.794499
127.0.0.1, 2022-01-11 18:50:58, GET, /admin/default/peek/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.010393
127.0.0.1, 2022-01-11 18:50:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-01-11 18:51:00, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.047424
127.0.0.1, 2022-01-11 18:51:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-01-11 18:51:03, GET, /admin/default/peek/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.007977
127.0.0.1, 2022-01-11 18:51:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-01-11 18:51:07, GET, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.013964
127.0.0.1, 2022-01-11 18:51:07, GET, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.008975
127.0.0.1, 2022-01-11 18:51:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-01-11 18:51:07, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.091787
127.0.0.1, 2022-01-11 18:51:08, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.103756
127.0.0.1, 2022-01-11 18:51:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.136103
127.0.0.1, 2022-01-11 18:51:08, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.117126
127.0.0.1, 2022-01-11 18:51:08, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.721924
127.0.0.1, 2022-01-11 18:52:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.101908
127.0.0.1, 2022-01-11 18:52:08, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.681833
127.0.0.1, 2022-01-11 18:53:06, POST, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.008976
127.0.0.1, 2022-01-11 18:53:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.076863
127.0.0.1, 2022-01-11 18:53:08, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.704312
127.0.0.1, 2022-01-11 18:53:14, POST, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.008975
127.0.0.1, 2022-01-11 18:54:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.112826
127.0.0.1, 2022-01-11 18:54:09, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.682580
127.0.0.1, 2022-01-11 18:55:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078595
127.0.0.1, 2022-01-11 18:55:09, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.659868
127.0.0.1, 2022-01-11 18:55:41, POST, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.037899
127.0.0.1, 2022-01-11 18:55:58, GET, /pluralsight/views/basics/helloworld.html, HTTP/1.1, 404, 0.091778
127.0.0.1, 2022-01-11 18:55:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000965
127.0.0.1, 2022-01-11 18:56:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.110704
127.0.0.1, 2022-01-11 18:56:09, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.739723
127.0.0.1, 2022-01-11 18:56:30, GET, /pluralsight/controller/basics/helloworld.html, HTTP/1.1, 404, 0.081780
127.0.0.1, 2022-01-11 18:56:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2022-01-11 18:56:54, GET, /pluralsight/, HTTP/1.1, 200, 0.135669
127.0.0.1, 2022-01-11 18:56:54, GET, /pluralsight/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-01-11 18:56:54, GET, /pluralsight/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002993
127.0.0.1, 2022-01-11 18:56:54, GET, /pluralsight/static/js/jquery.js, HTTP/1.1, 200, 0.005983
127.0.0.1, 2022-01-11 18:56:54, GET, /pluralsight/static/css/calendar.css, HTTP/1.1, 200, 0.006982
